代码,一级行政区,二级行政区,名称,级别,状态,启用时间,变更（弃用）时间,新代码
110000,北京市,,北京市,省级,启用,1980,,
110101,北京市,直辖,东城区,县级,启用,1980,,
110102,北京市,直辖,西城区,县级,启用,1980,,
110103,北京市,直辖,崇文区,县级,弃用,1980,2010,110101
110104,北京市,直辖,宣武区,县级,弃用,1980,2010,110102
110105,北京市,直辖,朝阳区,县级,启用,1980,,
110106,北京市,直辖,丰台区,县级,启用,1980,,
110107,北京市,直辖,石景山区,县级,启用,1980,,
110108,北京市,直辖,海淀区,县级,启用,1980,,
110109,北京市,直辖,门头沟区,县级,启用,1980,,
110110,北京市,直辖,燕山区,县级,弃用,1980,1986,110111
110111,北京市,直辖,房山区,县级,启用,1986,,
110112,北京市,直辖,通州区,县级,启用,1997,,
110113,北京市,直辖,顺义区,县级,启用,1998,,
110114,北京市,直辖,昌平区,县级,启用,1999,,
110115,北京市,直辖,大兴区,县级,启用,2001,,
110116,北京市,直辖,怀柔区,县级,启用,2001,,
110117,北京市,直辖,平谷区,县级,启用,2001,,
110118,北京市,直辖,密云区,县级,启用,2015,,
110119,北京市,直辖,延庆区,县级,启用,2015,,
110201,北京市,直辖,昌平县,县级,弃用,1980,1982,110221
110202,北京市,直辖,顺义县,县级,弃用,1980,1982,110222
110203,北京市,直辖,通县,县级,弃用,1980,1982,110223
110204,北京市,直辖,大兴县,县级,弃用,1980,1982,110224
110205,北京市,直辖,房山县,县级,弃用,1980,1982,110225
110206,北京市,直辖,平谷县,县级,弃用,1980,1982,110226
110207,北京市,直辖,怀柔县,县级,弃用,1980,1982,110227
110208,北京市,直辖,密云县,县级,弃用,1980,1982,110228
110209,北京市,直辖,延庆县,县级,弃用,1980,1982,110229
110221,北京市,直辖,昌平县,县级,弃用,1982,1999,110114
110222,北京市,直辖,顺义县,县级,弃用,1982,1998,110113
110223,北京市,直辖,通县,县级,弃用,1982,1997,110112
110224,北京市,直辖,大兴县,县级,弃用,1982,2001,110115
110225,北京市,直辖,房山县,县级,弃用,1982,1986,110111
110226,北京市,直辖,平谷县,县级,弃用,1982,2001,110117
110227,北京市,直辖,怀柔县,县级,弃用,1982,2001,110116
110228,北京市,直辖,密云县,县级,弃用,1982,2015,110118
110229,北京市,直辖,延庆县,县级,弃用,1982,2015,110119
120000,天津市,,天津市,省级,启用,1980,,
120101,天津市,直辖,和平区,县级,启用,1980,,
120102,天津市,直辖,河东区,县级,启用,1980,,
120103,天津市,直辖,河西区,县级,启用,1980,,
120104,天津市,直辖,南开区,县级,启用,1980,,
120105,天津市,直辖,河北区,县级,启用,1980,,
120106,天津市,直辖,红桥区,县级,启用,1980,,
120107,天津市,直辖,塘沽区,县级,弃用,1980,2009,120116
120108,天津市,直辖,汉沽区,县级,弃用,1980,2009,120116
120109,天津市,直辖,大港区,县级,弃用,1980,2009,120116
120110,天津市,直辖,东丽区,县级,启用,1992,,
120110,天津市,直辖,东郊区,县级,变更,1980,1992,120110
120111,天津市,直辖,西青区,县级,启用,1992,,
120111,天津市,直辖,西郊区,县级,变更,1980,1992,120111
120112,天津市,直辖,津南区,县级,启用,1992,,
120112,天津市,直辖,南郊区,县级,变更,1980,1992,120112
120113,天津市,直辖,北辰区,县级,启用,1992,,
120113,天津市,直辖,北郊区,县级,变更,1980,1992,120113
120114,天津市,直辖,武清区,县级,启用,2000,,
120115,天津市,直辖,宝坻区,县级,启用,2001,,
120116,天津市,直辖,滨海新区,县级,启用,2009,,
120117,天津市,直辖,宁河区,县级,启用,2015,,
120118,天津市,直辖,静海区,县级,启用,2015,,
120119,天津市,直辖,蓟州区,县级,启用,2016,,
120201,天津市,直辖,宁河县,县级,弃用,1980,1982,120221
120202,天津市,直辖,武清县,县级,弃用,1980,1982,120222
120203,天津市,直辖,静海县,县级,弃用,1980,1982,120223
120204,天津市,直辖,宝坻县,县级,弃用,1980,1982,120224
120205,天津市,直辖,蓟县,县级,弃用,1980,1982,120225
120221,天津市,直辖,宁河县,县级,弃用,1982,2015,120117
120222,天津市,直辖,武清县,县级,弃用,1982,2000,120114
120223,天津市,直辖,静海县,县级,弃用,1982,2015,120118
120224,天津市,直辖,宝坻县,县级,弃用,1982,2001,120115
120225,天津市,直辖,蓟县,县级,弃用,1982,2016,120119
130000,河北省,,河北省,省级,启用,1980,,
130100,河北省,石家庄市,石家庄市,地级,启用,1980,,
130102,河北省,石家庄市,长安区,县级,启用,1980,,130108[2001]
130103,河北省,石家庄市,桥东区,县级,弃用,1980,2015,130102;130104
130104,河北省,石家庄市,桥西区,县级,启用,1980,,
130105,河北省,石家庄市,新华区,县级,启用,1980,,
130106,河北省,石家庄市,郊区,县级,弃用,1980,2001,130102;130103;130104;130105;130108
130107,河北省,石家庄市,井陉矿区,县级,启用,1992,,
130107,河北省,石家庄市,井陉矿区,县级,变更,1980,1989,130121
130108,河北省,石家庄市,裕华区,县级,启用,2001,,
130109,河北省,石家庄市,藁城区,县级,启用,2014,,
130110,河北省,石家庄市,鹿泉区,县级,启用,2014,,
130111,河北省,石家庄市,栾城区,县级,启用,2014,,
130121,河北省,石家庄市,井陉县,县级,启用,1983,,130107[1992]
130122,河北省,石家庄市,获鹿县,县级,弃用,1983,1994,139019
130123,河北省,石家庄市,正定县,县级,启用,1993,,130102[2001];130108[2001]
130123,河北省,石家庄市,栾城县,县级,变更,1986,1993,130124
130124,河北省,石家庄市,栾城县,县级,弃用,1993,2014,130108[2001];130111
130124,河北省,石家庄市,正定县,县级,变更,1986,1993,130123
130125,河北省,石家庄市,行唐县,县级,启用,1993,,
130126,河北省,石家庄市,灵寿县,县级,启用,1993,,
130127,河北省,石家庄市,高邑县,县级,启用,1993,,
130128,河北省,石家庄市,深泽县,县级,启用,1993,,
130129,河北省,石家庄市,赞皇县,县级,启用,1993,,
130130,河北省,石家庄市,无极县,县级,启用,1993,,
130131,河北省,石家庄市,平山县,县级,启用,1993,,
130132,河北省,石家庄市,元氏县,县级,启用,1993,,
130133,河北省,石家庄市,赵县,县级,启用,1993,,
130181,河北省,石家庄市,辛集市,县级,启用,1995,,
130182,河北省,石家庄市,藁城市,县级,弃用,1995,2014,130109
130183,河北省,石家庄市,晋州市,县级,启用,1995,,
130184,河北省,石家庄市,新乐市,县级,启用,1995,,
130185,河北省,石家庄市,鹿泉市,县级,弃用,1995,2014,130110
130200,河北省,唐山市,唐山市,地级,启用,1980,,
130202,河北省,唐山市,路南区,县级,启用,1980,,
130203,河北省,唐山市,路北区,县级,启用,1980,,
130204,河北省,唐山市,古冶区,县级,启用,1995,,
130204,河北省,唐山市,东矿区,县级,变更,1980,1995,130204
130205,河北省,唐山市,开平区,县级,启用,1980,,
130206,河北省,唐山市,新区,县级,弃用,1980,2002,130208
130207,河北省,唐山市,丰南区,县级,启用,2002,,130209[2012]
130208,河北省,唐山市,丰润区,县级,启用,2002,,
130209,河北省,唐山市,曹妃甸区,县级,启用,2012,,
130221,河北省,唐山市,丰润县,县级,弃用,1983,2002,130208
130222,河北省,唐山市,丰南县,县级,弃用,1983,1994,139020
130223,河北省,唐山市,滦县,县级,弃用,1983,2018,130284
130224,河北省,唐山市,滦南县,县级,启用,1983,,
130225,河北省,唐山市,乐亭县,县级,启用,1983,,
130226,河北省,唐山市,迁安县,县级,弃用,1984,1996,130283
130226,河北省,唐山市,玉田县,县级,变更,1983,1984,130229
130227,河北省,唐山市,迁西县,县级,启用,1984,,
130227,河北省,唐山市,唐海县,县级,变更,1983,1984,130230
130228,河北省,唐山市,遵化县,县级,弃用,1984,1992,139003
130228,河北省,唐山市,迁安县,县级,变更,1983,1984,130226
130229,河北省,唐山市,玉田县,县级,启用,1984,,
130229,河北省,唐山市,迁西县,县级,变更,1983,1984,130227
130230,河北省,唐山市,唐海县,县级,弃用,1984,2012,130209
130230,河北省,唐山市,遵化县,县级,变更,1983,1984,130228
130281,河北省,唐山市,遵化市,县级,启用,1995,,
130282,河北省,唐山市,丰南市,县级,弃用,1995,2002,130207
130283,河北省,唐山市,迁安市,县级,启用,1996,,
130284,河北省,唐山市,滦州市,县级,启用,2018,,
130300,河北省,秦皇岛市,秦皇岛市,地级,启用,1983,,
130302,河北省,秦皇岛市,海港区,县级,启用,1983,,
130303,河北省,秦皇岛市,山海关区,县级,启用,1983,,
130304,河北省,秦皇岛市,北戴河区,县级,启用,1983,,
130305,河北省,秦皇岛市,郊区,县级,弃用,1983,1984,130302;130303;130304
130306,河北省,秦皇岛市,抚宁区,县级,启用,2015,,
130321,河北省,秦皇岛市,青龙满族自治县,县级,启用,1986,,
130321,河北省,秦皇岛市,青龙县,县级,变更,1983,1986,130321
130322,河北省,秦皇岛市,昌黎县,县级,启用,1983,,
130323,河北省,秦皇岛市,抚宁县,县级,弃用,1983,2015,130302;130304;130306
130324,河北省,秦皇岛市,卢龙县,县级,启用,1983,,
130400,河北省,邯郸市,邯郸市,地级,启用,1983,,
130402,河北省,邯郸市,邯山区,县级,启用,1983,,
130403,河北省,邯郸市,丛台区,县级,启用,1983,,
130404,河北省,邯郸市,复兴区,县级,启用,1983,,
130405,河北省,邯郸市,郊区,县级,弃用,1983,1986,130402;130403;130404
130406,河北省,邯郸市,峰峰矿区,县级,启用,1983,,
130407,河北省,邯郸市,肥乡区,县级,启用,2016,,
130408,河北省,邯郸市,永年区,县级,启用,2016,,
130421,河北省,邯郸市,邯郸县,县级,弃用,1983,2016,130402;130403
130422,河北省,邯郸市,武安县,县级,弃用,1986,1988,139001
130423,河北省,邯郸市,临漳县,县级,启用,1993,,
130424,河北省,邯郸市,成安县,县级,启用,1993,,
130425,河北省,邯郸市,大名县,县级,启用,1993,,
130426,河北省,邯郸市,涉县,县级,启用,1993,,
130427,河北省,邯郸市,磁县,县级,启用,1993,,130402[2016];130404[2016]
130428,河北省,邯郸市,肥乡县,县级,弃用,1993,2016,130407
130429,河北省,邯郸市,永年县,县级,弃用,1993,2016,130403;130408
130430,河北省,邯郸市,邱县,县级,启用,1996,,
130430,河北省,邯郸市,丘县,县级,变更,1993,1996,130430
130431,河北省,邯郸市,鸡泽县,县级,启用,1993,,
130432,河北省,邯郸市,广平县,县级,启用,1993,,
130433,河北省,邯郸市,馆陶县,县级,启用,1993,,
130434,河北省,邯郸市,魏县,县级,启用,1993,,
130435,河北省,邯郸市,曲周县,县级,启用,1993,,
130481,河北省,邯郸市,武安市,县级,启用,1995,,
130500,河北省,邢台市,邢台市,地级,启用,1983,,
130502,河北省,邢台市,襄都区,县级,启用,2020,,
130502,河北省,邢台市,桥东区,县级,变更,1983,2020,130502
130503,河北省,邢台市,信都区,县级,启用,2020,,
130503,河北省,邢台市,桥西区,县级,变更,1983,2020,130503
130504,河北省,邢台市,郊区,县级,弃用,1983,1988,130502;130503
130505,河北省,邢台市,任泽区,县级,启用,2020,,
130506,河北省,邢台市,南和区,县级,启用,2020,,
130521,河北省,邢台市,邢台县,县级,弃用,1986,2020,130502;130503
130522,河北省,邢台市,临城县,县级,启用,1993,,
130523,河北省,邢台市,内丘县,县级,启用,1993,,
130524,河北省,邢台市,柏乡县,县级,启用,1993,,
130525,河北省,邢台市,隆尧县,县级,启用,1993,,
130526,河北省,邢台市,任县,县级,弃用,1993,2020,130505
130527,河北省,邢台市,南和县,县级,弃用,1993,2020,130506
130528,河北省,邢台市,宁晋县,县级,启用,1993,,
130529,河北省,邢台市,巨鹿县,县级,启用,1993,,
130530,河北省,邢台市,新河县,县级,启用,1993,,
130531,河北省,邢台市,广宗县,县级,启用,1993,,
130532,河北省,邢台市,平乡县,县级,启用,1993,,
130533,河北省,邢台市,威县,县级,启用,1993,,
130534,河北省,邢台市,清河县,县级,启用,1993,,
130535,河北省,邢台市,临西县,县级,启用,1993,,
130581,河北省,邢台市,南宫市,县级,启用,1995,,
130582,河北省,邢台市,沙河市,县级,启用,1995,,
130600,河北省,保定市,保定市,地级,启用,1983,,
130602,河北省,保定市,竞秀区,县级,启用,2015,,
130602,河北省,保定市,新市区,县级,变更,1983,2015,130602
130603,河北省,保定市,北市区,县级,弃用,1983,2015,130606
130604,河北省,保定市,南市区,县级,弃用,1983,2015,130606
130605,河北省,保定市,郊区,县级,弃用,1983,1987,130602;130603;130604
130606,河北省,保定市,莲池区,县级,启用,2015,,
130607,河北省,保定市,满城区,县级,启用,2015,,
130608,河北省,保定市,清苑区,县级,启用,2015,,
130609,河北省,保定市,徐水区,县级,启用,2015,,
130621,河北省,保定市,满城县,县级,弃用,1983,2015,130607
130622,河北省,保定市,清苑县,县级,弃用,1986,2015,130608
130623,河北省,保定市,涞水县,县级,启用,1994,,
130624,河北省,保定市,阜平县,县级,启用,1994,,
130625,河北省,保定市,徐水县,县级,弃用,1994,2015,130609
130626,河北省,保定市,定兴县,县级,启用,1994,,
130627,河北省,保定市,唐县,县级,启用,1994,,
130628,河北省,保定市,高阳县,县级,启用,1994,,
130629,河北省,保定市,容城县,县级,启用,1994,,
130630,河北省,保定市,涞源县,县级,启用,1994,,
130631,河北省,保定市,望都县,县级,启用,1994,,
130632,河北省,保定市,安新县,县级,启用,1994,,
130633,河北省,保定市,易县,县级,启用,1994,,
130634,河北省,保定市,曲阳县,县级,启用,1994,,
130635,河北省,保定市,蠡县,县级,启用,1994,,
130636,河北省,保定市,顺平县,县级,启用,1994,,
130637,河北省,保定市,博野县,县级,启用,1994,,
130638,河北省,保定市,雄县,县级,启用,1994,,
130681,河北省,保定市,涿州市,县级,启用,1995,,
130682,河北省,保定市,定州市,县级,启用,1995,,
130683,河北省,保定市,安国市,县级,启用,1995,,
130684,河北省,保定市,高碑店市,县级,启用,1995,,
130700,河北省,张家口市,张家口市,地级,启用,1983,,
130702,河北省,张家口市,桥东区,县级,启用,1983,,
130703,河北省,张家口市,桥西区,县级,启用,1983,,
130704,河北省,张家口市,茶坊区,县级,弃用,1983,1989,130702;130703
130705,河北省,张家口市,宣化区,县级,启用,1983,,
130706,河北省,张家口市,下花园区,县级,启用,1983,,
130707,河北省,张家口市,庞家堡区,县级,弃用,1983,1989,130721
130708,河北省,张家口市,万全区,县级,启用,2016,,
130709,河北省,张家口市,崇礼区,县级,启用,2016,,
130721,河北省,张家口市,宣化县,县级,弃用,1983,2016,130702;130703;130705
130722,河北省,张家口市,张北县,县级,启用,1993,,
130723,河北省,张家口市,康保县,县级,启用,1993,,
130724,河北省,张家口市,沽源县,县级,启用,1993,,
130725,河北省,张家口市,尚义县,县级,启用,1993,,
130726,河北省,张家口市,蔚县,县级,启用,1993,,
130727,河北省,张家口市,阳原县,县级,启用,1993,,
130728,河北省,张家口市,怀安县,县级,启用,1993,,
130729,河北省,张家口市,万全县,县级,弃用,1993,2016,130708
130730,河北省,张家口市,怀来县,县级,启用,1993,,
130731,河北省,张家口市,涿鹿县,县级,启用,1993,,
130732,河北省,张家口市,赤城县,县级,启用,1993,,
130733,河北省,张家口市,崇礼县,县级,弃用,1993,2016,130709
130800,河北省,承德市,承德市,地级,启用,1983,,
130802,河北省,承德市,双桥区,县级,启用,1983,,
130803,河北省,承德市,双滦区,县级,启用,1983,,
130804,河北省,承德市,鹰手营子矿区,县级,启用,1983,,
130821,河北省,承德市,承德县,县级,启用,1983,,
130822,河北省,承德市,兴隆县,县级,启用,1993,,
130823,河北省,承德市,平泉县,县级,弃用,1993,2017,130881
130824,河北省,承德市,滦平县,县级,启用,1993,,
130825,河北省,承德市,隆化县,县级,启用,1993,,
130826,河北省,承德市,丰宁满族自治县,县级,启用,1993,,
130827,河北省,承德市,宽城满族自治县,县级,启用,1993,,
130828,河北省,承德市,围场满族蒙古族自治县,县级,启用,1993,,
130881,河北省,承德市,平泉市,县级,启用,2017,,
130900,河北省,沧州市,沧州市,地级,启用,1983,,
130902,河北省,沧州市,新华区,县级,启用,1983,,
130903,河北省,沧州市,运河区,县级,启用,1983,,
130904,河北省,沧州市,郊区,县级,弃用,1983,1997,130902;130903
130921,河北省,沧州市,沧县,县级,启用,1983,,
130922,河北省,沧州市,青县,县级,启用,1986,,
130923,河北省,沧州市,东光县,县级,启用,1993,,
130924,河北省,沧州市,海兴县,县级,启用,1993,,
130925,河北省,沧州市,盐山县,县级,启用,1993,,
130926,河北省,沧州市,肃宁县,县级,启用,1993,,
130927,河北省,沧州市,南皮县,县级,启用,1993,,
130928,河北省,沧州市,吴桥县,县级,启用,1993,,
130929,河北省,沧州市,献县,县级,启用,1993,,
130930,河北省,沧州市,孟村回族自治县,县级,启用,1993,,
130981,河北省,沧州市,泊头市,县级,启用,1995,,
130982,河北省,沧州市,任丘市,县级,启用,1995,,
130983,河北省,沧州市,黄骅市,县级,启用,1995,,
130984,河北省,沧州市,河间市,县级,启用,1995,,
131000,河北省,廊坊市,廊坊市,地级,启用,1988,,
131002,河北省,廊坊市,安次区,县级,启用,1988,,131003[2000]
131003,河北省,廊坊市,广阳区,县级,启用,2000,,
131021,河北省,廊坊市,三河县,县级,弃用,1988,1993,139012
131022,河北省,廊坊市,固安县,县级,启用,1988,,
131023,河北省,廊坊市,永清县,县级,启用,1988,,
131024,河北省,廊坊市,香河县,县级,启用,1988,,
131025,河北省,廊坊市,大城县,县级,启用,1988,,
131026,河北省,廊坊市,文安县,县级,启用,1988,,
131027,河北省,廊坊市,霸县,县级,弃用,1988,1990,139002
131028,河北省,廊坊市,大厂回族自治县,县级,启用,1988,,
131081,河北省,廊坊市,霸州市,县级,启用,1995,,
131082,河北省,廊坊市,三河市,县级,启用,1995,,
131100,河北省,衡水市,衡水市,地级,启用,1996,,
131102,河北省,衡水市,桃城区,县级,启用,1996,,
131103,河北省,衡水市,冀州区,县级,启用,2016,,
131121,河北省,衡水市,枣强县,县级,启用,1996,,
131122,河北省,衡水市,武邑县,县级,启用,1996,,
131123,河北省,衡水市,武强县,县级,启用,1996,,
131124,河北省,衡水市,饶阳县,县级,启用,1996,,
131125,河北省,衡水市,安平县,县级,启用,1996,,
131126,河北省,衡水市,故城县,县级,启用,1996,,
131127,河北省,衡水市,景县,县级,启用,1996,,
131128,河北省,衡水市,阜城县,县级,启用,1996,,
131181,河北省,衡水市,冀州市,县级,弃用,1996,2016,131103
131182,河北省,衡水市,深州市,县级,启用,1996,,
132100,河北省,邯郸地区,邯郸地区,地级,弃用,1980,1993,130400[1983];130400
132101,河北省,邯郸地区,邯郸市,县级,弃用,1980,1983,130400
132102,河北省,邯郸地区,邯山区,县级,弃用,1980,1983,130402
132103,河北省,邯郸地区,丛台区,县级,弃用,1980,1983,130403
132104,河北省,邯郸地区,复兴区,县级,弃用,1980,1983,130404
132105,河北省,邯郸地区,郊区,县级,弃用,1980,1983,130405
132106,河北省,邯郸地区,峰峰矿区,县级,弃用,1980,1983,130406
132121,河北省,邯郸地区,大名县,县级,弃用,1980,1993,130425
132122,河北省,邯郸地区,魏县,县级,弃用,1980,1993,130434
132123,河北省,邯郸地区,曲周县,县级,弃用,1980,1993,130435
132124,河北省,邯郸地区,丘县,县级,弃用,1980,1993,130430
132125,河北省,邯郸地区,鸡泽县,县级,弃用,1980,1993,130431
132126,河北省,邯郸地区,肥乡县,县级,弃用,1980,1993,130428
132127,河北省,邯郸地区,广平县,县级,弃用,1980,1993,130432
132128,河北省,邯郸地区,成安县,县级,弃用,1980,1993,130424
132129,河北省,邯郸地区,临漳县,县级,弃用,1980,1993,130423
132130,河北省,邯郸地区,磁县,县级,弃用,1980,1993,130427
132131,河北省,邯郸地区,武安县,县级,弃用,1980,1986,130422
132132,河北省,邯郸地区,涉县,县级,弃用,1980,1993,130426
132133,河北省,邯郸地区,永年县,县级,弃用,1980,1993,130429
132134,河北省,邯郸地区,邯郸县,县级,弃用,1980,1983,130421
132135,河北省,邯郸地区,馆陶县,县级,弃用,1980,1993,130433
132200,河北省,邢台地区,邢台地区,地级,弃用,1980,1993,130500[1983];130500
132201,河北省,邢台地区,南宫市,县级,弃用,1986,1993,139013
132201,河北省,邢台地区,邢台市,县级,变更,1980,1983,130500
132202,河北省,邢台地区,沙河市,县级,弃用,1987,1993,139014
132202,河北省,邢台地区,桥东区,县级,变更,1980,1983,130502
132203,河北省,邢台地区,桥西区,县级,弃用,1980,1983,130503
132204,河北省,邢台地区,郊区,县级,弃用,1980,1983,130504
132221,河北省,邢台地区,邢台县,县级,弃用,1980,1986,130521
132222,河北省,邢台地区,沙河县,县级,弃用,1980,1987,132202
132223,河北省,邢台地区,临城县,县级,弃用,1980,1993,130522
132224,河北省,邢台地区,内丘县,县级,弃用,1980,1993,130523
132225,河北省,邢台地区,柏乡县,县级,弃用,1980,1993,130524
132226,河北省,邢台地区,隆尧县,县级,弃用,1980,1993,130525
132227,河北省,邢台地区,任县,县级,弃用,1980,1993,130526
132228,河北省,邢台地区,南和县,县级,弃用,1980,1993,130527
132229,河北省,邢台地区,宁晋县,县级,弃用,1980,1993,130528
132230,河北省,邢台地区,南宫县,县级,弃用,1980,1986,132201
132231,河北省,邢台地区,巨鹿县,县级,弃用,1980,1993,130529
132232,河北省,邢台地区,新河县,县级,弃用,1980,1993,130530
132233,河北省,邢台地区,广宗县,县级,弃用,1980,1993,130531
132234,河北省,邢台地区,平乡县,县级,弃用,1980,1993,130532
132235,河北省,邢台地区,威县,县级,弃用,1980,1993,130533
132236,河北省,邢台地区,清河县,县级,弃用,1980,1993,130534
132237,河北省,邢台地区,临西县,县级,弃用,1980,1993,130535
132300,河北省,石家庄地区,石家庄地区,地级,弃用,1980,1993,130100
132301,河北省,石家庄地区,辛集市,县级,弃用,1986,1993,139004
132302,河北省,石家庄地区,藁城市,县级,弃用,1989,1993,139005
132303,河北省,石家庄地区,晋州市,县级,弃用,1991,1993,139006
132304,河北省,石家庄地区,新乐市,县级,弃用,1992,1993,139007
132321,河北省,石家庄地区,束鹿县,县级,弃用,1980,1986,132301
132322,河北省,石家庄地区,晋县,县级,弃用,1980,1991,132303
132323,河北省,石家庄地区,深泽县,县级,弃用,1980,1993,130128
132324,河北省,石家庄地区,无极县,县级,弃用,1980,1993,130130
132325,河北省,石家庄地区,藁城县,县级,弃用,1980,1989,132302
132326,河北省,石家庄地区,赵县,县级,弃用,1980,1993,130133
132327,河北省,石家庄地区,栾城县,县级,弃用,1980,1986,130123
132328,河北省,石家庄地区,正定县,县级,弃用,1980,1986,130124
132329,河北省,石家庄地区,新乐县,县级,弃用,1980,1992,132304
132330,河北省,石家庄地区,高邑县,县级,弃用,1980,1993,130127
132331,河北省,石家庄地区,元氏县,县级,弃用,1980,1993,130132
132332,河北省,石家庄地区,赞皇县,县级,弃用,1980,1993,130129
132333,河北省,石家庄地区,井陉县,县级,弃用,1980,1983,130121
132334,河北省,石家庄地区,获鹿县,县级,弃用,1980,1983,130122
132335,河北省,石家庄地区,平山县,县级,弃用,1980,1993,130131
132336,河北省,石家庄地区,灵寿县,县级,弃用,1980,1993,130126
132337,河北省,石家庄地区,行唐县,县级,弃用,1980,1993,130125
132400,河北省,保定地区,保定地区,地级,弃用,1980,1994,130600[1983];130600
132401,河北省,保定地区,定州市,县级,弃用,1986,1994,139015
132401,河北省,保定地区,保定市,县级,变更,1980,1983,130600
132402,河北省,保定地区,涿州市,县级,弃用,1986,1994,139016
132402,河北省,保定地区,新市区,县级,变更,1980,1983,130602
132403,河北省,保定地区,安国市,县级,弃用,1991,1994,139017
132403,河北省,保定地区,北市区,县级,变更,1980,1983,130603
132404,河北省,保定地区,高碑店市,县级,弃用,1993,1994,139018
132404,河北省,保定地区,南市区,县级,变更,1980,1983,130604
132405,河北省,保定地区,郊区,县级,弃用,1980,1983,130605
132421,河北省,保定地区,易县,县级,弃用,1980,1994,130633
132422,河北省,保定地区,满城县,县级,弃用,1980,1983,130621
132423,河北省,保定地区,徐水县,县级,弃用,1980,1994,130625
132424,河北省,保定地区,涞源县,县级,弃用,1980,1994,130630
132425,河北省,保定地区,定兴县,县级,弃用,1980,1994,130626
132426,河北省,保定地区,顺平县,县级,弃用,1993,1994,130636
132426,河北省,保定地区,完县,县级,变更,1980,1993,132426
132427,河北省,保定地区,唐县,县级,弃用,1980,1994,130627
132428,河北省,保定地区,望都县,县级,弃用,1980,1994,130631
132429,河北省,保定地区,涞水县,县级,弃用,1980,1994,130623
132430,河北省,保定地区,涿县,县级,弃用,1980,1986,132402
132431,河北省,保定地区,清苑县,县级,弃用,1980,1986,130622
132432,河北省,保定地区,高阳县,县级,弃用,1980,1994,130628
132433,河北省,保定地区,安新县,县级,弃用,1980,1994,130632
132434,河北省,保定地区,雄县,县级,弃用,1980,1994,130638
132435,河北省,保定地区,容城县,县级,弃用,1980,1994,130629
132436,河北省,保定地区,新城县,县级,弃用,1980,1993,132404
132437,河北省,保定地区,曲阳县,县级,弃用,1980,1994,130634
132438,河北省,保定地区,阜平县,县级,弃用,1980,1994,130624
132439,河北省,保定地区,定县,县级,弃用,1980,1986,132401
132440,河北省,保定地区,安国县,县级,弃用,1980,1991,132403
132441,河北省,保定地区,博野县,县级,弃用,1980,1994,130637
132442,河北省,保定地区,蠡县,县级,弃用,1980,1994,130635
132500,河北省,张家口地区,张家口地区,地级,弃用,1980,1993,130700[1983];130700
132501,河北省,张家口地区,张家口市,县级,弃用,1980,1983,130700
132502,河北省,张家口地区,桥东区,县级,弃用,1980,1983,130702
132503,河北省,张家口地区,桥西区,县级,弃用,1980,1983,130703
132504,河北省,张家口地区,茶坊区,县级,弃用,1980,1983,130704
132505,河北省,张家口地区,宣化区,县级,弃用,1980,1983,130705
132506,河北省,张家口地区,下花园区,县级,弃用,1980,1983,130706
132507,河北省,张家口地区,庞家堡区,县级,弃用,1980,1983,130707
132521,河北省,张家口地区,张北县,县级,弃用,1980,1993,130722
132522,河北省,张家口地区,康保县,县级,弃用,1980,1993,130723
132523,河北省,张家口地区,沽源县,县级,弃用,1980,1993,130724
132524,河北省,张家口地区,尚义县,县级,弃用,1980,1993,130725
132525,河北省,张家口地区,蔚县,县级,弃用,1980,1993,130726
132526,河北省,张家口地区,阳原县,县级,弃用,1980,1993,130727
132527,河北省,张家口地区,怀安县,县级,弃用,1980,1993,130728
132528,河北省,张家口地区,万全县,县级,弃用,1980,1993,130729
132529,河北省,张家口地区,怀来县,县级,弃用,1980,1993,130730
132530,河北省,张家口地区,涿鹿县,县级,弃用,1980,1993,130731
132531,河北省,张家口地区,宣化县,县级,弃用,1980,1983,130721
132532,河北省,张家口地区,赤城县,县级,弃用,1980,1993,130732
132533,河北省,张家口地区,崇礼县,县级,弃用,1980,1993,130733
132600,河北省,承德地区,承德地区,地级,弃用,1980,1993,130800[1983];130800
132601,河北省,承德地区,承德市,县级,弃用,1980,1983,130800
132602,河北省,承德地区,双桥区,县级,弃用,1980,1983,130802
132603,河北省,承德地区,双滦区,县级,弃用,1980,1983,130803
132604,河北省,承德地区,鹰手营子矿区,县级,弃用,1980,1983,130804
132621,河北省,承德地区,青龙县,县级,弃用,1980,1983,130321
132622,河北省,承德地区,宽城满族自治县,县级,弃用,1989,1993,130827
132622,河北省,承德地区,宽城县,县级,变更,1980,1989,132622
132623,河北省,承德地区,兴隆县,县级,弃用,1980,1993,130822
132624,河北省,承德地区,平泉县,县级,弃用,1980,1993,130823
132625,河北省,承德地区,承德县,县级,弃用,1980,1983,130821
132626,河北省,承德地区,滦平县,县级,弃用,1980,1993,130824
132627,河北省,承德地区,丰宁满族自治县,县级,弃用,1986,1993,130826
132627,河北省,承德地区,丰宁县,县级,变更,1980,1986,132627
132628,河北省,承德地区,隆化县,县级,弃用,1980,1993,130825
132629,河北省,承德地区,围场满族蒙古族自治县,县级,弃用,1989,1993,130828
132629,河北省,承德地区,围场县,县级,变更,1980,1989,132629
132700,河北省,唐山地区,唐山地区,地级,弃用,1980,1983,132733[1982];130200;130300
132701,河北省,唐山地区,秦皇岛市,县级,弃用,1980,1983,130300
132702,河北省,唐山地区,海港区,县级,弃用,1980,1983,130302
